cell_id,fold
2707604700067100081,3
2796212800986100038,4
2656144900112100180,5
2787445900053200043,4
2795103300233100096,5
2787445900753100213,5
2787889600412100201,1
2796212800399100077,5
2946331700000001467,1
2796212800760100266,4
2945606900000017077,3
2787445900548100167,1
2707604000123100134,4
2795103300156100042,5
2656144900395100204,2
2787445900097100208,3
2796212800854100197,1
2656143800129100068,5
2787445900512200012,3
2787445900361100208,3
2795584800124200179,4
2787889600315100079,4
2787889600353100095,4
2787445900858100201,1
2787445900618100070,2
2787889600351100126,2
2796212800922100073,4
2787445900754100137,4
2796212800265100093,4
2787445900549100054,5
2787889600409100243,2
2707737900021100138,2
2787445900126100131,4
2656143800267100079,2
2946331700000018601,5
2707604700037200059,4
2656143800468100060,3
2795903600372100097,3
2787445900425100195,5
2707737900112100022,3
2946331700000004514,4
2795903600518100067,2
2707604700272100112,5
2707604000109100211,2
2656144900058100068,1
2707604700365100052,5
2796212800456100305,5
2796212800760100272,2
2787889600092100060,3
2787889600196100010,2
2795584800411100147,3
2795584800420100182,2
2787445900389100156,1
2656143800153100191,2
2795103300382100107,4
2787889600413100192,1
2656144900504100204,4
2787445900253100102,5
2787445900933100079,3
2945606900000006599,1
2795903600435200091,5
2656143800078100083,3
2787445900659100022,2
2656143800052100323,4
2787445900437100077,2
2787445900896100105,5
2787889600348100196,5
2945606900000003404,2
2795103300154100140,3
2795903600518100164,5
2787889600479100206,4
2707604700106100095,5
2656143800213200032,2
2945606900000014789,3
2787889600384200032,5
2787445900248100160,2
2796212800233100131,1
2787889600058100120,4
2787445900583100189,5
2795584800226100152,1
2787889600384100094,4
2707604700035100093,3
2656143800153100293,3
2707737900101100075,5
2656144900530100093,2
2795584800185100303,5
2787445900163100081,3
2707737900007100130,3
2787889600129100183,1
2796212800882100020,5
2795903600089100200,3
2707604000086100243,2
2795103300182100065,2
2796212800488100280,2
2787889600315100102,3
2795103300156100200,3
2656144300141100022,1
2707737900086100132,3
2946331700000020454,3
2726544600456100095,5
2656143800368100034,2
2795103300193100190,3
2945606900000008135,5
2787445900250100079,5
2656143800152100094,2
2726562700118100166,4
2787445900051100104,4
2796212800627100042,1
2656144900403100060,2
2787889600094100080,2
2946331700000013341,5
2787889600409100225,1
2787445900268100092,1
2796212800716100234,1
2726544200059100062,5
2707604700083200126,1
2726544600219100117,2
2707604000038100061,2
2787445900718100163,1
2796212800977100222,2
2787445900090100096,5
2787889600195100078,4
2707604700318100119,3
2787889600445200006,4
2796212800110100105,3
2656144900112100127,5
2656143800192100146,3
2656144900615100044,1
2707604800404100223,5
2795584800419100280,2
2656144900185100150,4
2945606900000003322,4
2656144900111100020,5
2656144900566100073,1
2787445900682100135,5
2707604700318100044,2
2787889600279100150,4
2795903600380200032,3
2796212800452100117,5
2787445900360100160,5
2946331700000003422,1
2656143800418100283,2
2787445900398100118,4
2656143800190100065,4
2787445900096100030,4
2946331700000010493,5
2945606900000016911,3
2787445900252100151,3
2946331700000003596,5
2946331700000003340,2
2796212800406100093,5
2656144900535100149,1
2796212800920100156,3
2656143800129100146,5
2796212800305100059,5
2795103300345100017,1
2795584800448100083,1
2787445900836100086,3
2787445900167100052,5
2787445900127100019,3
2787445900127100075,3
2795103300178100211,2
2795903600481100179,1
2787889600023100227,1
2787889600379100067,2
2656143800443100175,5
2656144900167100041,4
2787889600445100169,2
2656144900541100087,4
2787889600276100039,5
2787445900623100172,5
2656143800130100179,4
2796212801012100140,2
2656144900563200175,5
2656143800052100248,5
2795584800434100172,2
2795584800225100168,5
2656143800215100118,5
2795103300405100111,3
2707604700132100199,3
2795584800709100282,1
2946331700000019907,3
2795903600516100151,4
2946331700000011126,5
2795584800434200032,4
2656144900297200042,3
2707737900101100147,3
2796212800920100186,5
2796212801076100088,2
2787889600361100176,1
2656144900423100118,2
2656144900479100069,3
2656144900588100091,4
2707737900049100026,5
2796212800355100039,2
2656144900584100215,4
2726562700233100049,5
2707604700342100017,5
2787445900231100134,4
2787445900050100097,4
2707604800058100104,2
2795584800400100402,5
2795903600006100074,4
2707604800280100016,4
2707604700250100162,2
2707604000054100060,4
2946331700000001665,5
2787445900097100032,3
2795903600354100114,4
2795903600641100239,4
2946331700000005130,3
2787889600059100183,1
2795903600616100042,3
2795103300345100187,4
2707737900021200024,1
2707737900021100149,1
2707737900087100192,5
2795903600517100085,3
2946331700000012532,4
2787445900752100165,3
2656144900166100113,2
2795903600059100029,3
2787445900580100145,1
2945606900000001552,3
2656144900190100266,4
2795903600033100179,2
2787889600480100065,3
2787889600362100215,4
2787445900225100171,4
2796212800563100112,5
2787445900861100089,3
2795903600462100093,5
2707604700131100047,4
2707604700271100260,4
2795903600694200027,1
2787445900265100216,1
2787445900859100117,5
2795103300160100095,1
2787445900193100122,5
2787445900252100013,1
2787889600583100038,1
2796212800142100152,2
2707604700200100133,4
2787445900087100060,2
2707604800059100087,2
2787445900752100043,3
2707604000086100185,1
2795103300063100206,5
2796212800396100144,5
2656144300162100014,1
2707604000086100021,4
2707604000155100092,5
2787889600057100125,4
2707737900144100205,3
2796212800418100152,1
2787889600518100079,1
2787445900360100208,3
2707604800445100185,1
2707604700106100156,4
2707737900110100007,5
2795903600348100132,3
2795584800419100108,4
2656143800393200013,1
2656144300102100179,4
2945606900000028496,3
2795103300410100288,3
2796212800536100091,2
2787445900698100134,3
2787445900660100194,3
2787445900095100103,3
2787445900432100051,4
2787889600094100239,3
2656144900609100174,5
2787889600518100141,5
2707604000057100275,5
2656144900110100072,4
2787889600193100194,2
2787445900685100065,4
2795584800388100087,5
2787889600478100046,2
2796212800456100298,5
2795103300181100070,4
2787889600379100095,1
2707737900120100153,2
2707604700363100162,4
2787445900126100072,1
2795584800202100191,1
2656144900351100151,5
2795903600300100043,3
2656144900537100149,1
2787445900327100116,4
2795903600669100305,3
2795584800449100206,1
2795584800103100060,5
2787889600230100269,5
2787445900324100101,2
2946331700000003291,3
2795903600463100037,4
2656143800029200138,4
